x,y,flux(W/m2)
-3.96,3.96,0.0044235
-3.88,3.96,0.00442351
-3.8,3.96,0.00488914
-3.72,3.96,0.0055876
-3.64,3.96,0.0041907
-3.56,3.96,0.00442353
-3.48,3.96,0.00372508
-3.4,3.96,0.00582044
-3.32,3.96,0.0065189
-3.24,3.96,0.00582046
-3.16,3.96,0.00745019
-3.08,3.96,0.00465637
-3,3.96,0.0037251
-2.92,3.96,0.00582048
-2.84,3.96,0.00558767
-2.76,3.96,0.00488921
-2.68,3.96,0.0046564
-2.6,3.96,0.00488922
-2.52,3.96,0.00419076
-2.44,3.96,0.00628615
-2.36,3.96,0.00558769
-2.28,3.96,0.00488924
-2.2,3.96,0.00675181
-2.12,3.96,0.00698463
-2.04,3.96,0.00582053
-1.96,3.96,0.00605336
-1.88,3.96,0.00582054
-1.8,3.96,0.00558772
-1.72,3.96,0.0095457
-1.64,3.96,0.00698466
-1.56,3.96,0.00605337
-1.48,3.96,0.00721749
-1.4,3.96,0.0062862
-1.32,3.96,0.00651903
-1.24,3.96,0.00861443
-1.16,3.96,0.0072175
-1.08,3.96,0.00605339
-1,3.96,0.00954573
-0.92,3.96,0.00861444
-0.84,3.96,0.00535493
-0.76,3.96,0.00745033
-0.68,3.96,0.0060534
-0.6,3.96,0.00698469
-0.52,3.96,0.00791598
-0.44,3.96,0.00721752
-0.36,3.96,0.00861446
-0.28,3.96,0.00512211
-0.2,3.96,0.00745034
-0.12,3.96,0.00838163
-0.04,3.96,0.00931293
0.04,3.96,0.00651905
0.12,3.96,0.00814881
0.2,3.96,0.00745034
0.28,3.96,0.00838163
0.36,3.96,0.00861446
0.44,3.96,0.00791599
0.52,3.96,0.00791598
0.6,3.96,0.00488928
0.68,3.96,0.0060534
0.76,3.96,0.0090801
0.84,3.96,0.00698469
0.92,3.96,0.00791598
1,3.96,0.00791597
1.08,3.96,0.00651903
1.16,3.96,0.0109427
1.24,3.96,0.00814879
1.32,3.96,0.00675185
1.4,3.96,0.00954572
1.48,3.96,0.00605338
1.56,3.96,0.00675184
1.64,3.96,0.0074503
1.72,3.96,0.00558772
1.8,3.96,0.00558772
1.88,3.96,0.00721747
1.96,3.96,0.006519
2.04,3.96,0.00582053
2.12,3.96,0.00651899
2.2,3.96,0.00582052
2.28,3.96,0.00512206
2.36,3.96,0.00628616
2.44,3.96,0.00488923
2.52,3.96,0.0058205
2.6,3.96,0.00372512
2.68,3.96,0.0046564
2.76,3.96,0.00395793
2.84,3.96,0.00442357
2.92,3.96,0.00419075
3,3.96,0.00442356
3.08,3.96,0.00512201
3.16,3.96,0.00349228
3.24,3.96,0.005122
3.32,3.96,0.00605327
3.4,3.96,0.00325945
3.48,3.96,0.00488917
3.56,3.96,0.00419071
3.64,3.96,0.00256099
3.72,3.96,0.00395788
3.8,3.96,0.00372506
3.88,3.96,0.00419069
3.96,3.96,0.00605321
-3.96,3.88,0.00395787
-3.88,3.88,0.00349225
-3.8,3.88,0.00302662
-3.72,3.88,0.00535479
-3.64,3.88,0.00465634
-3.56,3.88,0.00512199
-3.48,3.88,0.00488917
-3.4,3.88,0.00419072
-3.32,3.88,0.00465637
-3.24,3.88,0.00279382
-3.16,3.88,0.00558765
-3.08,3.88,0.00698457
-3,3.88,0.00535484
-2.92,3.88,0.00465639
-2.84,3.88,0.00419075
-2.76,3.88,0.00558768
-2.68,3.88,0.0046564
-2.6,3.88,0.00442359
-2.52,3.88,0.00488923
-2.44,3.88,0.00651898
-2.36,3.88,0.00628616
-2.28,3.88,0.00582053
-2.2,3.88,0.00698464
-2.12,3.88,0.00838157
-2.04,3.88,0.00838158
-1.96,3.88,0.00558772
-1.88,3.88,0.00861441
-1.8,3.88,0.00698466
-1.72,3.88,0.00698466
-1.64,3.88,0.00651902
-1.56,3.88,0.0062862
-1.48,3.88,0.00768314
-1.4,3.88,0.00768314
-1.32,3.88,0.00675186
-1.24,3.88,0.00628622
-1.16,3.88,0.0081488
-1.08,3.88,0.0081488
-1,3.88,0.00861445
-0.92,3.88,0.00535493
-0.84,3.88,0.00768317
-0.76,3.88,0.00908011
-0.68,3.88,0.00884729
-0.6,3.88,0.0107099
-0.52,3.88,0.00721753
-0.44,3.88,0.00651906
-0.36,3.88,0.00651906
-0.28,3.88,0.00745035
-0.2,3.88,0.00558776
-0.12,3.88,0.00814882
-0.04,3.88,0.00861447
0.04,3.88,0.007916
0.12,3.88,0.00861447
0.2,3.88,0.00768317
0.28,3.88,0.00745035
0.36,3.88,0.00628623
0.44,3.88,0.00814882
0.52,3.88,0.00605341
0.6,3.88,0.0102442
0.68,3.88,0.00605341
0.76,3.88,0.00931293
0.84,3.88,0.00558776
0.92,3.88,0.0102442
1,3.88,0.00861445
1.08,3.88,0.00698469
1.16,3.88,0.00721751
1.24,3.88,0.00791598
1.32,3.88,0.00628621
1.4,3.88,0.00628621
1.48,3.88,0.00628621
1.56,3.88,0.00745032
1.64,3.88,0.00605338
1.72,3.88,0.00931288
1.8,3.88,0.00651902
1.88,3.88,0.00512208
1.96,3.88,0.00954569
2.04,3.88,0.006519
2.12,3.88,0.00582054
2.2,3.88,0.00628617
2.28,3.88,0.00488924
2.36,3.88,0.00628616
2.44,3.88,0.00582052
2.52,3.88,0.00512205
2.6,3.88,0.00628615
2.68,3.88,0.00535486
2.76,3.88,0.00605332
2.84,3.88,0.00488921
2.92,3.88,0.00395793
3,3.88,0.00465639
3.08,3.88,0.00302665
3.16,3.88,0.0037251
3.24,3.88,0.00325946
3.32,3.88,0.00395791
3.4,3.88,0.00372509
3.48,3.88,0.00419072
3.56,3.88,0.00442353
3.64,3.88,0.00395789
3.72,3.88,0.00465634
3.8,3.88,0.0027938
3.88,3.88,0.00442351
3.96,3.88,0.00488914
-3.96,3.8,0.00372506
-3.88,3.8,0.00582042
-3.8,3.8,0.00372507
-3.72,3.8,0.0053548
-3.64,3.8,0.0039579
-3.56,3.8,0.00442354
-3.48,3.8,0.00605327
-3.4,3.8,0.00488919
-3.32,3.8,0.00395792
-3.24,3.8,0.00582047
-3.16,3.8,0.00675175
-3.08,3.8,0.00651894
-3,3.8,0.00465639
-2.92,3.8,0.00675177
-2.84,3.8,0.00512204
-2.76,3.8,0.00325948
-2.68,3.8,0.00675179
-2.6,3.8,0.00582051
-2.52,3.8,0.00698463
-2.44,3.8,0.0044236
-2.36,3.8,0.00535489
-2.28,3.8,0.00745028
-2.2,3.8,0.00768311
-2.12,3.8,0.00651901
-2.04,3.8,0.00628619
-1.96,3.8,0.00582055
-1.88,3.8,0.00465644
-1.8,3.8,0.00791596
-1.72,3.8,0.00745032
-1.64,3.8,0.00791597
-1.56,3.8,0.00535492
-1.48,3.8,0.00791597
-1.4,3.8,0.00884727
-1.32,3.8,0.00675187
-1.24,3.8,0.00861445
-1.16,3.8,0.00651905
-1.08,3.8,0.00651905
-1,3.8,0.0069847
-0.92,3.8,0.0100114
-0.84,3.8,0.00814882
-0.76,3.8,0.00605341
-0.68,3.8,0.0100114
-0.6,3.8,0.00745036
-0.52,3.8,0.0100114
-0.44,3.8,0.0111755
-0.36,3.8,0.0123397
-0.28,3.8,0.0114084
-0.2,3.8,0.0100114
-0.12,3.8,0.00908013
-0.04,3.8,0.00791601
0.04,3.8,0.00838166
0.12,3.8,0.00931295
0.2,3.8,0.00628624
0.28,3.8,0.00861448
0.36,3.8,0.00721754
0.44,3.8,0.00558777
0.52,3.8,0.00838165
0.6,3.8,0.00814883
0.68,3.8,0.0100114
0.76,3.8,0.0100114
0.84,3.8,0.00651906
0.92,3.8,0.00931294
1,3.8,0.00908011
1.08,3.8,0.00838164
1.16,3.8,0.00838164
1.24,3.8,0.00768316
1.32,3.8,0.00768316
1.4,3.8,0.00791598
1.48,3.8,0.00977855
1.56,3.8,0.00698468
1.64,3.8,0.00675185
1.72,3.8,0.00977854
1.8,3.8,0.00651902
1.88,3.8,0.00465644
1.96,3.8,0.00628619
2.04,3.8,0.00651901
2.12,3.8,0.00721747
2.2,3.8,0.00488925
2.28,3.8,0.00721746
2.36,3.8,0.00745028
2.44,3.8,0.00605335
2.52,3.8,0.00721745
2.6,3.8,0.00745026
2.68,3.8,0.00372513
2.76,3.8,0.00628614
2.84,3.8,0.00535486
2.92,3.8,0.00675178
3,3.8,0.00535485
3.08,3.8,0.00512203
3.16,3.8,0.00442356
3.24,3.8,0.00558765
3.32,3.8,0.00442355
3.4,3.8,0.00558764
