x,y,flux(W/m2)
-3.96,3.96,0.00698447
-3.88,3.96,0.00814856
-3.8,3.96,0.00861421
-3.72,3.96,0.00628605
-3.64,3.96,0.00814859
-3.56,3.96,0.00721733
-3.48,3.96,0.0109424
-3.4,3.96,0.00768299
-3.32,3.96,0.00861427
-3.24,3.96,0.0100112
-3.16,3.96,0.010244
-3.08,3.96,0.00861429
-3,3.96,0.00745021
-2.92,3.96,0.0128051
-2.84,3.96,0.0104769
-2.76,3.96,0.0130379
-2.68,3.96,0.00977843
-2.6,3.96,0.0104769
-2.52,3.96,0.0111754
-2.44,3.96,0.0118738
-2.36,3.96,0.0137364
-2.28,3.96,0.0104769
-2.2,3.96,0.0128052
-2.12,3.96,0.0137365
-2.04,3.96,0.00884721
-1.96,3.96,0.0125724
-1.88,3.96,0.0135036
-1.8,3.96,0.0137365
-1.72,3.96,0.0137365
-1.64,3.96,0.0149006
-1.56,3.96,0.0123396
-1.48,3.96,0.0146678
-1.4,3.96,0.0160647
-1.32,3.96,0.0123396
-1.24,3.96,0.0130381
-1.16,3.96,0.0137365
-1.08,3.96,0.0155991
-1,3.96,0.0142022
-0.92,3.96,0.0125724
-0.84,3.96,0.0160648
-0.76,3.96,0.0149007
-0.68,3.96,0.0142022
-0.6,3.96,0.0146679
-0.52,3.96,0.0128053
-0.44,3.96,0.0132709
-0.36,3.96,0.0116412
-0.28,3.96,0.0188587
-0.2,3.96,0.0202556
-0.12,3.96,0.0149007
-0.04,3.96,0.0146679
0.04,3.96,0.0132709
0.12,3.96,0.0132709
0.2,3.96,0.0153663
0.28,3.96,0.015832
0.36,3.96,0.0165304
0.44,3.96,0.0111755
0.52,3.96,0.0172289
0.6,3.96,0.015832
0.68,3.96,0.0139694
0.76,3.96,0.0149007
0.84,3.96,0.0142022
0.92,3.96,0.0165304
1,3.96,0.014435
1.08,3.96,0.0153663
1.16,3.96,0.0128052
1.24,3.96,0.0162976
1.32,3.96,0.0153663
1.4,3.96,0.0135037
1.48,3.96,0.0149006
1.56,3.96,0.0111755
1.64,3.96,0.0137365
1.72,3.96,0.0149006
1.8,3.96,0.0135037
1.88,3.96,0.0137365
1.96,3.96,0.0109426
2.04,3.96,0.0118739
2.12,3.96,0.0125723
2.2,3.96,0.0118739
2.28,3.96,0.0118739
2.36,3.96,0.011641
2.44,3.96,0.0109426
2.52,3.96,0.0130379
2.6,3.96,0.0102441
2.68,3.96,0.0100113
2.76,3.96,0.00814869
2.84,3.96,0.0104769
2.92,3.96,0.0100112
3,3.96,0.00791584
3.08,3.96,0.00768302
3.16,3.96,0.00954556
3.24,3.96,0.0107096
3.32,3.96,0.00814863
3.4,3.96,0.0107096
3.48,3.96,0.0093127
3.56,3.96,0.00907987
3.64,3.96,0.0100111
3.72,3.96,0.00931267
3.8,3.96,0.0102439
3.88,3.96,0.00419069
3.96,3.96,0.00698447
-3.96,3.88,0.00791575
-3.88,3.88,0.00442351
-3.8,3.88,0.00884703
-3.72,3.88,0.00628606
-3.64,3.88,0.00791579
-3.56,3.88,0.00884707
-3.48,3.88,0.00768299
-3.4,3.88,0.010244
-3.32,3.88,0.00628609
-3.24,3.88,0.00698456
-3.16,3.88,0.00884711
-3.08,3.88,0.00838149
-3,3.88,0.0121066
-2.92,3.88,0.0111753
-2.84,3.88,0.00977843
-2.76,3.88,0.00954562
-2.68,3.88,0.0104769
-2.6,3.88,0.0111754
-2.52,3.88,0.014202
-2.44,3.88,0.0111754
-2.36,3.88,0.0128051
-2.28,3.88,0.0111754
-2.2,3.88,0.0114082
-2.12,3.88,0.0160647
-2.04,3.88,0.0123395
-1.96,3.88,0.0123395
-1.88,3.88,0.0158319
-1.8,3.88,0.013038
-1.72,3.88,0.0128052
-1.64,3.88,0.0135037
-1.56,3.88,0.0149006
-1.48,3.88,0.0139693
-1.4,3.88,0.0165304
-1.32,3.88,0.0181602
-1.24,3.88,0.0139694
-1.16,3.88,0.0160648
-1.08,3.88,0.0167633
-1,3.88,0.0155992
-0.92,3.88,0.0207213
-0.84,3.88,0.0155992
-0.76,3.88,0.0151335
-0.68,3.88,0.0204884
-0.6,3.88,0.0186259
-0.52,3.88,0.0193243
-0.44,3.88,0.0169961
-0.36,3.88,0.0186259
-0.28,3.88,0.0149007
-0.2,3.88,0.0151335
-0.12,3.88,0.0183931
-0.04,3.88,0.0155992
0.04,3.88,0.0167633
0.12,3.88,0.0183931
0.2,3.88,0.0167633
0.28,3.88,0.0160648
0.36,3.88,0.0130381
0.44,3.88,0.0174618
0.52,3.88,0.0128053
0.6,3.88,0.0155992
0.68,3.88,0.0195572
0.76,3.88,0.0188587
0.84,3.88,0.0153663
0.92,3.88,0.015832
1,3.88,0.0135037
1.08,3.88,0.0160648
1.16,3.88,0.0135037
1.24,3.88,0.0153663
1.32,3.88,0.011874
1.4,3.88,0.0135037
1.48,3.88,0.0160647
1.56,3.88,0.0151335
1.64,3.88,0.0135037
1.72,3.88,0.0121068
1.8,3.88,0.0121067
1.88,3.88,0.0114083
1.96,3.88,0.015599
2.04,3.88,0.013038
2.12,3.88,0.00931286
2.2,3.88,0.0137365
2.28,3.88,0.0123395
2.36,3.88,0.011641
2.44,3.88,0.00838154
2.52,3.88,0.00977846
2.6,3.88,0.0128051
2.68,3.88,0.00977845
2.76,3.88,0.00884716
2.84,3.88,0.00884715
2.92,3.88,0.011641
3,3.88,0.0114081
3.08,3.88,0.00814867
3.16,3.88,0.00582047
3.24,3.88,0.00861429
3.32,3.88,0.00954555
3.4,3.88,0.00651891
3.48,3.88,0.00582045
3.56,3.88,0.00605326
3.64,3.88,0.00721733
3.72,3.88,0.00721733
3.8,3.88,0.00651887
3.88,3.88,0.00558759
3.96,3.88,0.0058204
-3.96,3.8,0.00838139
-3.88,3.8,0.00791577
-3.8,3.8,0.00675169
-3.72,3.8,0.00698452
-3.64,3.8,0.00884707
-3.56,3.8,0.0079158
-3.48,3.8,0.00884709
-3.4,3.8,0.007683
-3.32,3.8,0.0111753
-3.24,3.8,0.0121066
-3.16,3.8,0.00884712
-3.08,3.8,0.00931277
-3,3.8,0.0104769
-2.92,3.8,0.00977843
-2.84,3.8,0.0102441
-2.76,3.8,0.0109426
-2.68,3.8,0.0128051
-2.6,3.8,0.0107097
-2.52,3.8,0.0111754
-2.44,3.8,0.0107098
-2.36,3.8,0.0135036
-2.28,3.8,0.0123395
-2.2,3.8,0.0128052
-2.12,3.8,0.013038
-2.04,3.8,0.0139693
-1.96,3.8,0.0186258
-1.88,3.8,0.0149006
-1.8,3.8,0.0167632
-1.72,3.8,0.0121068
-1.64,3.8,0.0153663
-1.56,3.8,0.0109427
-1.48,3.8,0.0142022
-1.4,3.8,0.0153663
-1.32,3.8,0.0181602
-1.24,3.8,0.0169961
-1.16,3.8,0.0186258
-1.08,3.8,0.0204884
-1,3.8,0.0151335
-0.92,3.8,0.0179274
-0.84,3.8,0.0167633
