x,y,flux(W/m2)
-3.96,3.96,0.00209534
-3.88,3.96,0.00256098
-3.8,3.96,0.00186253
-3.72,3.96,0.0027938
-3.64,3.96,0.0041907
-3.56,3.96,0.00302662
-3.48,3.96,0.00186254
-3.4,3.96,0.002561
-3.32,3.96,0.00349227
-3.24,3.96,0.00302664
-3.16,3.96,0.00325946
-3.08,3.96,0.00232819
-3,3.96,0.0037251
-2.92,3.96,0.00279383
-2.84,3.96,0.00442357
-2.76,3.96,0.00442357
-2.68,3.96,0.00325948
-2.6,3.96,0.00419076
-2.52,3.96,0.0034923
-2.44,3.96,0.00325949
-2.36,3.96,0.00419077
-2.28,3.96,0.00279385
-2.2,3.96,0.00209539
-2.12,3.96,0.00465642
-2.04,3.96,0.00395796
-1.96,3.96,0.0032595
-1.88,3.96,0.00814875
-1.8,3.96,0.0020954
-1.72,3.96,0.00419079
-1.64,3.96,0.00442362
-1.56,3.96,0.0041908
-1.48,3.96,0.00512209
-1.4,3.96,0.00442362
-1.32,3.96,0.00675185
-1.24,3.96,0.00349234
-1.16,3.96,0.00302669
-1.08,3.96,0.00558774
-1,3.96,0.00395799
-0.92,3.96,0.00419081
-0.84,3.96,0.00535493
-0.76,3.96,0.00349234
-0.68,3.96,0.00488928
-0.6,3.96,0.00349235
-0.52,3.96,0.00535493
-0.44,3.96,0.00465646
-0.36,3.96,0.00675187
-0.28,3.96,0.00651905
-0.2,3.96,0.00349235
-0.12,3.96,0.00465647
-0.04,3.96,0.00675187
0.04,3.96,0.00512211
0.12,3.96,0.00535493
0.2,3.96,0.00535493
0.28,3.96,0.00372517
0.36,3.96,0.00419082
0.44,3.96,0.00465646
0.52,3.96,0.0060534
0.6,3.96,0.00372517
0.68,3.96,0.00535493
0.76,3.96,0.00558775
0.84,3.96,0.0030267
0.92,3.96,0.00372517
1,3.96,0.00442363
1.08,3.96,0.00419081
1.16,3.96,0.00349234
1.24,3.96,0.00512209
1.32,3.96,0.00442362
1.4,3.96,0.00488927
1.48,3.96,0.00372516
1.56,3.96,0.00349233
1.64,3.96,0.00372515
1.72,3.96,0.00395797
1.8,3.96,0.00605337
1.88,3.96,0.00372514
1.96,3.96,0.00558771
2.04,3.96,0.00465643
2.12,3.96,0.00488924
2.2,3.96,0.00209539
2.28,3.96,0.00349231
2.36,3.96,0.00465641
2.44,3.96,0.00488923
2.52,3.96,0.00512204
2.6,3.96,0.00442358
2.68,3.96,0.00442358
2.76,3.96,0.00209538
2.84,3.96,0.00186256
2.92,3.96,0.00139692
3,3.96,0.00302665
3.08,3.96,0.00349228
3.16,3.96,0.00302664
3.24,3.96,0.00465637
3.32,3.96,0.00209536
3.4,3.96,0.00139691
3.48,3.96,0.00162972
3.56,3.96,0.00186254
3.64,3.96,0.00209535
3.72,3.96,0.00116408
3.8,3.96,0.00232816
3.88,3.96,0.00279379
3.96,3.96,0.00186253
-3.96,3.88,0.00116408
-3.88,3.88,0.00162971
-3.8,3.88,0.0041907
-3.72,3.88,0.00325944
-3.64,3.88,0.0013969
-3.56,3.88,0.00186254
-3.48,3.88,0.00279381
-3.4,3.88,0.00186254
-3.32,3.88,0.00419073
-3.24,3.88,0.00279382
-3.16,3.88,0.00232819
-3.08,3.88,0.00349228
-3,3.88,0.00372511
-2.92,3.88,0.00232819
-2.84,3.88,0.00279384
-2.76,3.88,0.00279384
-2.68,3.88,0.00535486
-2.6,3.88,0.00209538
-2.52,3.88,0.00279385
-2.44,3.88,0.00279385
-2.36,3.88,0.0044236
-2.28,3.88,0.00279385
-2.2,3.88,0.00628617
-2.12,3.88,0.00535489
-2.04,3.88,0.00232822
-1.96,3.88,0.00279386
-1.88,3.88,0.00512208
-1.8,3.88,0.00442362
-1.72,3.88,0.00558773
-1.64,3.88,0.00302669
-1.56,3.88,0.00442362
-1.48,3.88,0.00232822
-1.4,3.88,0.00442363
-1.32,3.88,0.00488928
-1.24,3.88,0.00419081
-1.16,3.88,0.00442364
-1.08,3.88,0.00675187
-1,3.88,0.00512211
-0.92,3.88,0.0030267
-0.84,3.88,0.00419082
-0.76,3.88,0.00512211
-0.68,3.88,0.00488929
-0.6,3.88,0.00372517
-0.52,3.88,0.00488929
-0.44,3.88,0.0030267
-0.36,3.88,0.00651906
-0.28,3.88,0.00465647
-0.2,3.88,0.003958
-0.12,3.88,0.00465647
-0.04,3.88,0.00442365
0.04,3.88,0.00512212
0.12,3.88,0.00372518
0.2,3.88,0.00628623
0.28,3.88,0.00582059
0.36,3.88,0.00465647
0.44,3.88,0.00558776
0.52,3.88,0.00325953
0.6,3.88,0.00675188
0.68,3.88,0.00465647
0.76,3.88,0.003958
0.84,3.88,0.00465646
0.92,3.88,0.00419082
1,3.88,0.00372517
1.08,3.88,0.0030267
1.16,3.88,0.00535493
1.24,3.88,0.0051221
1.32,3.88,0.00395799
1.4,3.88,0.00465645
1.48,3.88,0.00558774
1.56,3.88,0.00325951
1.64,3.88,0.00465645
1.72,3.88,0.00232822
1.8,3.88,0.00512208
1.88,3.88,0.00419079
1.96,3.88,0.00465643
2.04,3.88,0.00256104
2.12,3.88,0.00488925
2.2,3.88,0.0044236
2.28,3.88,0.00419078
2.36,3.88,0.00419078
2.44,3.88,0.00302667
2.52,3.88,0.00325949
2.6,3.88,0.00325949
2.68,3.88,0.00395794
2.76,3.88,0.00372512
2.84,3.88,0.00349229
2.92,3.88,0.00372511
3,3.88,0.00232819
3.08,3.88,0.00349229
3.16,3.88,0.00349228
3.24,3.88,0.00395792
3.32,3.88,0.00162973
3.4,3.88,0.002561
3.48,3.88,0.00279381
3.56,3.88,0.00209536
3.64,3.88,0.00302662
3.72,3.88,0.000931268
3.8,3.88,0.00186253
3.88,3.88,0.00349225
3.96,3.88,0.00186253
-3.96,3.8,0.00162972
-3.88,3.8,0.00209535
-3.8,3.8,0.00349226
-3.72,3.8,0.00162972
-3.64,3.8,0.00302663
-3.56,3.8,0.00186254
-3.48,3.8,0.00186254
-3.4,3.8,0.005122
-3.32,3.8,0.00395792
-3.24,3.8,0.00325946
-3.16,3.8,0.00419074
-3.08,3.8,0.00256101
-3,3.8,0.00395793
-2.92,3.8,0.00442358
-2.84,3.8,0.00256102
-2.76,3.8,0.00256102
-2.68,3.8,0.00419077
-2.6,3.8,0.00419077
-2.52,3.8,0.00325949
-2.44,3.8,0.00372514
-2.36,3.8,0.00465642
-2.28,3.8,0.00279386
-2.2,3.8,0.00349232
-2.12,3.8,0.00465643
-2.04,3.8,0.00419079
-1.96,3.8,0.00651902
-1.88,3.8,0.00395798
-1.8,3.8,0.00372516
-1.72,3.8,0.00442363
-1.64,3.8,0.00256105
-1.56,3.8,0.00419081
-1.48,3.8,0.00465646
-1.4,3.8,0.00535493
-1.32,3.8,0.00558775
-1.24,3.8,0.00512211
-1.16,3.8,0.00442364
-1.08,3.8,0.00419082
-1,3.8,0.00465647
-0.92,3.8,0.003958
-0.84,3.8,0.00488929
-0.76,3.8,0.00768318
-0.68,3.8,0.00675188
-0.6,3.8,0.00651906
-0.52,3.8,0.00465647
-0.44,3.8,0.00558777
-0.36,3.8,0.00651907
-0.28,3.8,0.00884731
-0.2,3.8,0.00442365
-0.12,3.8,0.00558777
-0.04,3.8,0.00558777
0.04,3.8,0.00419083
0.12,3.8,0.00395801
0.2,3.8,0.00442365
0.28,3.8,0.00512212
0.36,3.8,0.0048893
0.44,3.8,0.00605342
0.52,3.8,0.0048893
0.6,3.8,0.00582059
0.68,3.8,0.00465647
0.76,3.8,0.00465647
0.84,3.8,0.00535494
0.92,3.8,0.00488929
1,3.8,0.00582058
1.08,3.8,0.00349235
1.16,3.8,0.00419082
1.24,3.8,0.00465646
1.32,3.8,0.00372517
1.4,3.8,0.00349234
1.48,3.8,0.00442363
1.56,3.8,0.00256105
1.64,3.8,0.00535492
1.72,3.8,0.00535492
1.8,3.8,0.00442362
1.88,3.8,0.00302669
1.96,3.8,0.00535491
2.04,3.8,0.0053549
2.12,3.8,0.0053549
2.2,3.8,0.00302668
2.28,3.8,0.00232821
2.36,3.8,0.00582053
2.44,3.8,0.0044236
2.52,3.8,0.00512206
2.6,3.8,0.00372513
2.68,3.8,0.00442359
2.76,3.8,0.00558769
2.84,3.8,0.00325948
2.92,3.8,0.00279384
3,3.8,0.00325947
3.08,3.8,0.00372511
3.16,3.8,0.00232819
3.24,3.8,0.00162973
3.32,3.8,0.00139691
3.4,3.8,0.00209537
3.48,3.8,0.00209536
3.56,3.8,0.00139691
3.64,3.8,0.00162972
3.72,3.8,0.00395789
3.8,3.8,0.00209535
3.88,3.8,0.00232817
3.96,3.8,0.00232816
-3.96,3.72,0.00256098
-3.88,3.72,0.00256099
-3.8,3.72,0.00372508
-3.72,3.72,0.00302663
-3.64,3.72,0.00325945
-3.56,3.72,0.00325945
-3.48,3.72,0.00279382
-3.4,3.72,0.00349228
-3.32,3.72,0.00325947
-3.24,3.72,0.00232819
-3.16,3.72,0.00279383
-3.08,3.72,0.00465639
-3,3.72,0.00372512
-2.92,3.72,0.0023282
-2.84,3.72,0.00628615
-2.76,3.72,0.00186256
-2.68,3.72,0.00395795
-2.6,3.72,0.00349231
-2.52,3.72,0.00395796
-2.44,3.72,0.00279386
-2.36,3.72,0.00442361
-2.28,3.72,0.00372515
-2.2,3.72,0.0053549
-2.12,3.72,0.00488926
-2.04,3.72,0.00442362
-1.96,3.72,0.0041908
-1.88,3.72,0.00395798
-1.8,3.72,0.00302669
-1.72,3.72,0.00325952
-1.64,3.72,0.00442363
-1.56,3.72,0.00372517
