x,y,flux(W/m2)
-3.96,3.96,0.000698447
-3.88,3.96,0.000931264
-3.8,3.96,0.000931266
-3.72,3.96,0.00116408
-3.64,3.96,0.00116408
-3.56,3.96,0.00209535
-3.48,3.96,0.00116409
-3.4,3.96,0.00162972
-3.32,3.96,0.00162973
-3.24,3.96,0.00232818
-3.16,3.96,0.000931274
-3.08,3.96,0.00232819
-3,3.96,0.000931276
-2.92,3.96,0.00162973
-2.84,3.96,0.00302665
-2.76,3.96,0.00162974
-2.68,3.96,0.0011641
-2.6,3.96,0.00093128
-2.52,3.96,0.00139692
-2.44,3.96,0.000931282
-2.36,3.96,0.00162974
-2.28,3.96,0.00232821
-2.2,3.96,0.00232821
-2.12,3.96,0.00139693
-2.04,3.96,0.00349232
-1.96,3.96,0.00209539
-1.88,3.96,0.00232822
-1.8,3.96,0.00302668
-1.72,3.96,0.00256104
-1.64,3.96,0.00139693
-1.56,3.96,0.00349233
-1.48,3.96,0.0020954
-1.4,3.96,0.00162976
-1.32,3.96,0.00256105
-1.24,3.96,0.00186258
-1.16,3.96,0.00325952
-1.08,3.96,0.00256105
-1,3.96,0.00139694
-0.92,3.96,0.00162976
-0.84,3.96,0.00372517
-0.76,3.96,0.00209541
-0.68,3.96,0.0030267
-0.6,3.96,0.00232823
-0.52,3.96,0.00256105
-0.44,3.96,0.00116412
-0.36,3.96,0.00256106
-0.28,3.96,0.00325952
-0.2,3.96,0.00395799
-0.12,3.96,0.00116412
-0.04,3.96,0.00256106
0.04,3.96,0.00256106
0.12,3.96,0.00139694
0.2,3.96,0.00186259
0.28,3.96,0.00256105
0.36,3.96,0.00325952
0.44,3.96,0.00256105
0.52,3.96,0.00209541
0.6,3.96,0.000698469
0.68,3.96,0.00349234
0.76,3.96,0.00325952
0.84,3.96,0.000931291
0.92,3.96,0.00372517
1,3.96,0.0020954
1.08,3.96,0.0020954
1.16,3.96,0.00256105
1.24,3.96,0.00186258
1.32,3.96,0.00093129
1.4,3.96,0.00139693
1.48,3.96,0.00349233
1.56,3.96,0.00232822
1.64,3.96,0.00372515
1.72,3.96,0.00186257
1.8,3.96,0.00256104
1.88,3.96,0.00232822
1.96,3.96,0.00209539
2.04,3.96,0.00209539
2.12,3.96,0.00395796
2.2,3.96,0.00232821
2.28,3.96,0.000931283
2.36,3.96,0.00139692
2.44,3.96,0.00209538
2.52,3.96,0.00162974
2.6,3.96,0.00186256
2.68,3.96,0.00279384
2.76,3.96,0.0023282
2.84,3.96,0.00139692
2.92,3.96,0.00186255
3,3.96,0.00116409
3.08,3.96,0.000931275
3.16,3.96,0.00139691
3.24,3.96,0.00116409
3.32,3.96,0.00116409
3.4,3.96,0.00162972
3.48,3.96,0.00186254
3.56,3.96,0.0013969
3.64,3.96,0.00162972
3.72,3.96,0.00162972
3.8,3.96,0.00186253
3.88,3.96,0.000931264
3.96,3.96,0.00116408
-3.96,3.88,0.000931264
-3.88,3.88,0.0027938
-3.8,3.88,0.0013969
-3.72,3.88,0.0013969
-3.64,3.88,0.00116409
-3.56,3.88,0.00209536
-3.48,3.88,0.00116409
-3.4,3.88,0.00116409
-3.32,3.88,0.00116409
-3.24,3.88,0.00139691
-3.16,3.88,0.00162973
-3.08,3.88,0.00162973
-3,3.88,0.0011641
-2.92,3.88,0.0011641
-2.84,3.88,0.00302666
-2.76,3.88,0.00302666
-2.68,3.88,0.00093128
-2.6,3.88,0.00162974
-2.52,3.88,0.00162974
-2.44,3.88,0.00186257
-2.36,3.88,0.00232821
-2.28,3.88,0.00162975
-2.2,3.88,0.00139693
-2.12,3.88,0.00186257
-2.04,3.88,0.00209539
-1.96,3.88,0.0020954
-1.88,3.88,0.0020954
-1.8,3.88,0.00139693
-1.72,3.88,0.00162975
-1.64,3.88,0.00116411
-1.56,3.88,0.00302669
-1.48,3.88,0.00256105
-1.4,3.88,0.00325952
-1.32,3.88,0.00279387
-1.24,3.88,0.00256105
-1.16,3.88,0.00349234
-1.08,3.88,0.00256105
-1,3.88,0.0030267
-0.92,3.88,0.00279388
-0.84,3.88,0.00116412
-0.76,3.88,0.00279388
-0.68,3.88,0.000931293
-0.6,3.88,0.00232823
-0.52,3.88,0.00186259
-0.44,3.88,0.00279388
-0.36,3.88,0.00232823
-0.28,3.88,0.00232824
-0.2,3.88,0.00302671
-0.12,3.88,0.00256106
-0.04,3.88,0.00232824
0.04,3.88,0.00256106
0.12,3.88,0.00209541
0.2,3.88,0.00232823
0.28,3.88,0.00256106
0.36,3.88,0.00209541
0.44,3.88,0.00209541
0.52,3.88,0.00256106
0.6,3.88,0.00372517
0.68,3.88,0.00209541
0.76,3.88,0.0030267
0.84,3.88,0.000698469
0.92,3.88,0.00139694
1,3.88,0.00279388
1.08,3.88,0.00209541
1.16,3.88,0.00186258
1.24,3.88,0.00232823
1.32,3.88,0.00256105
1.4,3.88,0.0020954
1.48,3.88,0.00279387
1.56,3.88,0.00232822
1.64,3.88,0.00256104
1.72,3.88,0.00139693
1.8,3.88,0.0020954
1.88,3.88,0.00139693
1.96,3.88,0.00116411
2.04,3.88,0.00349232
2.12,3.88,0.00279386
2.2,3.88,0.00232821
2.28,3.88,0.00186257
2.36,3.88,0.0011641
2.44,3.88,0.00186257
2.52,3.88,0.0011641
2.6,3.88,0.0011641
2.68,3.88,0.00046564
2.76,3.88,0.0011641
2.84,3.88,0.000698459
2.92,3.88,0.00162974
3,3.88,0.0011641
3.08,3.88,0.00139691
3.16,3.88,0.00186255
3.24,3.88,0.000931274
3.32,3.88,0.00139691
3.4,3.88,0.00139691
3.48,3.88,0.00325945
3.56,3.88,0.000698452
3.64,3.88,0.00209536
3.72,3.88,0.0013969
3.8,3.88,0.0013969
3.88,3.88,0.00209535
3.96,3.88,0.0013969
-3.96,3.8,0.00116408
-3.88,3.8,0.00116408
-3.8,3.8,0.0013969
-3.72,3.8,0.000698452
-3.64,3.8,0.00232818
-3.56,3.8,0.00139691
-3.48,3.8,0.002561
-3.4,3.8,0.00186255
-3.32,3.8,0.000931274
-3.24,3.8,0.00232819
-3.16,3.8,0.000698457
-3.08,3.8,0.00186255
-3,3.8,0.00162974
-2.92,3.8,0.00186256
-2.84,3.8,0.00093128
-2.76,3.8,0.0011641
-2.68,3.8,0.00162974
-2.6,3.8,0.00186256
-2.52,3.8,0.00279385
-2.44,3.8,0.00139693
-2.36,3.8,0.00139693
-2.28,3.8,0.00139693
-2.2,3.8,0.00162975
-2.12,3.8,0.00279386
-2.04,3.8,0.00232822
-1.96,3.8,0.00162975
-1.88,3.8,0.00349233
-1.8,3.8,0.00139693
-1.72,3.8,0.00139693
-1.64,3.8,0.00302669
-1.56,3.8,0.00256105
-1.48,3.8,0.00139694
-1.4,3.8,0.0030267
-1.32,3.8,0.00349234
-1.24,3.8,0.00279388
-1.16,3.8,0.00232823
-1.08,3.8,0.00209541
-1,3.8,0.00232823
-0.92,3.8,0.00162976
-0.84,3.8,0.00232823
-0.76,3.8,0.00302671
-0.68,3.8,0.00256106
-0.6,3.8,0.00209541
-0.52,3.8,0.00256106
-0.44,3.8,0.00186259
-0.36,3.8,0.00325953
-0.28,3.8,0.00232824
-0.2,3.8,0.00209541
-0.12,3.8,0.00186259
-0.04,3.8,0.003958
0.04,3.8,0.00279389
0.12,3.8,0.00372518
0.2,3.8,0.00256106
0.28,3.8,0.00256106
0.36,3.8,0.00279389
0.44,3.8,0.00325953
0.52,3.8,0.00256106
0.6,3.8,0.00279388
0.68,3.8,0.00279388
0.76,3.8,0.00419082
0.84,3.8,0.00256106
0.92,3.8,0.00256106
1,3.8,0.00162976
1.08,3.8,0.00325952
1.16,3.8,0.00256106
1.24,3.8,0.00139694
1.32,3.8,0.00349235
1.4,3.8,0.00162976
1.48,3.8,0.00256105
1.56,3.8,0.00186258
1.64,3.8,0.00372516
1.72,3.8,0.00279387
1.8,3.8,0.0020954
1.88,3.8,0.00349233
1.96,3.8,0.00162975
2.04,3.8,0.0020954
2.12,3.8,0.00139693
2.2,3.8,0.00186257
2.28,3.8,0.00209539
2.36,3.8,0.00209539
2.44,3.8,0.00325949
2.52,3.8,0.00279385
2.6,3.8,0.00162974
2.68,3.8,0.00139692
2.76,3.8,0.00162974
2.84,3.8,0.00139692
2.92,3.8,0.00256102
3,3.8,0.00139692
3.08,3.8,0.00186255
3.16,3.8,0.00162973
3.24,3.8,0.00279383
3.32,3.8,0.00186255
3.4,3.8,0.00186255
3.48,3.8,0.00209536
3.56,3.8,0.00139691
3.64,3.8,0.00186254
3.72,3.8,0.00209535
3.8,3.8,0.000931268
3.88,3.8,0.00069845
3.96,3.8,0.0013969
-3.96,3.72,0.000232817
-3.88,3.72,0.00186254
-3.8,3.72,0.000931269
-3.72,3.72,0.00186254
-3.64,3.72,0.00186254
-3.56,3.72,0.00232818
-3.48,3.72,0.000931274
-3.4,3.72,0.000931275
-3.32,3.72,0.00232819
-3.24,3.72,0.0011641
-3.16,3.72,0.000931277
-3.08,3.72,0.00186256
-3,3.72,0.00209538
-2.92,3.72,0.0011641
-2.84,3.72,0.00209538
-2.76,3.72,0.0011641
-2.68,3.72,0.00139692
-2.6,3.72,0.00162975
-2.52,3.72,0.0032595
-2.44,3.72,0.00116411
-2.36,3.72,0.00116411
-2.28,3.72,0.00209539
-2.2,3.72,0.00325951
-2.12,3.72,0.00186258
-2.04,3.72,0.00256104
-1.96,3.72,0.00186258
-1.88,3.72,0.00232822
-1.8,3.72,0.00186258
-1.72,3.72,0.00442363
-1.64,3.72,0.00162976
-1.56,3.72,0.000931292
-1.48,3.72,0.00349235
-1.4,3.72,0.00279388
-1.32,3.72,0.00465646
