x,y,flux(W/m2)
-3.96,3.96,1.59172e-07
-3.88,3.96,1.45163e-07
-3.8,3.96,9.65172e-07
-3.72,3.96,7.50041e-06
-3.64,3.96,1.81377e-05
-3.56,3.96,3.17271e-05
-3.48,3.96,3.66225e-05
-3.4,3.96,2.80695e-05
-3.32,3.96,1.59759e-05
-3.24,3.96,1.26275e-05
-3.16,3.96,1.61559e-05
-3.08,3.96,2.8886e-05
-3,3.96,5.19605e-05
-2.92,3.96,9.0924e-05
-2.84,3.96,0.000148039
-2.76,3.96,0.00021323
-2.68,3.96,0.000263065
-2.6,3.96,0.000304922
-2.52,3.96,0.000302408
-2.44,3.96,0.000317664
-2.36,3.96,0.000408223
-2.28,3.96,0.000568924
-2.2,3.96,0.000781512
-2.12,3.96,0.000989365
-2.04,3.96,0.00114958
-1.96,3.96,0.00125099
-1.88,3.96,0.00134033
-1.8,3.96,0.0015961
-1.72,3.96,0.00189575
-1.64,3.96,0.00213016
-1.56,3.96,0.0023335
-1.48,3.96,0.00252087
-1.4,3.96,0.0027235
-1.32,3.96,0.00296727
-1.24,3.96,0.00335965
-1.16,3.96,0.00365353
-1.08,3.96,0.00406102
-1,3.96,0.0044649
-0.92,3.96,0.00484714
-0.84,3.96,0.00535196
-0.76,3.96,0.00574824
-0.68,3.96,0.00648293
-0.6,3.96,0.00676141
-0.52,3.96,0.00702099
-0.44,3.96,0.00763554
-0.36,3.96,0.00769797
-0.28,3.96,0.00774288
-0.2,3.96,0.00791639
-0.12,3.96,0.00814953
-0.04,3.96,0.00844921
0.04,3.96,0.00854972
0.12,3.96,0.00853301
0.2,3.96,0.00828942
0.28,3.96,0.0078377
0.36,3.96,0.00736499
0.44,3.96,0.00698429
0.52,3.96,0.00680678
0.6,3.96,0.00680119
0.68,3.96,0.00685068
0.76,3.96,0.00674838
0.84,3.96,0.00599784
0.92,3.96,0.00527671
1,3.96,0.00486134
1.08,3.96,0.00454265
1.16,3.96,0.00415043
1.24,3.96,0.00370342
1.32,3.96,0.00310259
1.4,3.96,0.00275818
1.48,3.96,0.00262742
1.56,3.96,0.00242063
1.64,3.96,0.00218448
1.72,3.96,0.00202221
1.8,3.96,0.00180944
1.88,3.96,0.00157046
1.96,3.96,0.00131297
2.04,3.96,0.00108724
2.12,3.96,0.000910481
2.2,3.96,0.000776848
2.28,3.96,0.000648271
2.36,3.96,0.000524746
2.44,3.96,0.00040953
2.52,3.96,0.000313105
2.6,3.96,0.000248355
2.68,3.96,0.000211052
2.76,3.96,0.000180424
2.84,3.96,0.000147848
2.92,3.96,0.000113982
3,3.96,8.89008e-05
3.08,3.96,7.2255e-05
3.16,3.96,5.65976e-05
3.24,3.96,4.14882e-05
3.32,3.96,3.26921e-05
3.4,3.96,3.14049e-05
3.48,3.96,3.03713e-05
3.56,3.96,2.29679e-05
3.64,3.96,1.38184e-05
3.72,3.96,1.23451e-05
3.8,3.96,1.83334e-05
3.88,3.96,2.48047e-05
3.96,3.96,2.63854e-05
-3.96,3.88,0
-3.88,3.88,1.44523e-06
-3.8,3.88,4.53864e-06
-3.72,3.88,1.15816e-05
-3.64,3.88,2.38073e-05
-3.56,3.88,3.74296e-05
-3.48,3.88,4.19179e-05
-3.4,3.88,3.33261e-05
-3.32,3.88,2.14859e-05
-3.24,3.88,1.86945e-05
-3.16,3.88,2.56301e-05
-3.08,3.88,4.17377e-05
-3,3.88,6.84515e-05
-2.92,3.88,0.000113491
-2.84,3.88,0.00017752
-2.76,3.88,0.000267441
-2.68,3.88,0.000338881
-2.6,3.88,0.0003836
-2.52,3.88,0.000409783
-2.44,3.88,0.000441793
-2.36,3.88,0.000541359
-2.28,3.88,0.00070499
-2.2,3.88,0.000930912
-2.12,3.88,0.00115452
-2.04,3.88,0.00132654
-1.96,3.88,0.00144744
-1.88,3.88,0.00158258
