x,y,flux(W/m2)
-3.96,3.96,0.0896555
-3.88,3.96,0.0931883
-3.8,3.96,0.097362
-3.72,3.96,0.103169
-3.64,3.96,0.110604
-3.56,3.96,0.119154
-3.48,3.96,0.128665
-3.4,3.96,0.138115
-3.32,3.96,0.147285
-3.24,3.96,0.156566
-3.16,3.96,0.167242
-3.08,3.96,0.179012
-3,3.96,0.192361
-2.92,3.96,0.204392
-2.84,3.96,0.216777
-2.76,3.96,0.229021
-2.68,3.96,0.241276
-2.6,3.96,0.253538
-2.52,3.96,0.265938
-2.44,3.96,0.279168
-2.36,3.96,0.294385
-2.28,3.96,0.308413
-2.2,3.96,0.323686
-2.12,3.96,0.33651
-2.04,3.96,0.350544
-1.96,3.96,0.364527
-1.88,3.96,0.379782
-1.8,3.96,0.393967
-1.72,3.96,0.410004
-1.64,3.96,0.425291
-1.56,3.96,0.43983
-1.48,3.96,0.450885
-1.4,3.96,0.462802
-1.32,3.96,0.475646
-1.24,3.96,0.489751
-1.16,3.96,0.499063
-1.08,3.96,0.509928
-1,3.96,0.520671
-0.92,3.96,0.531664
-0.84,3.96,0.543184
-0.76,3.96,0.554656
-0.68,3.96,0.565372
-0.6,3.96,0.57479
-0.52,3.96,0.582345
-0.44,3.96,0.5875
-0.36,3.96,0.589698
-0.28,3.96,0.591442
-0.2,3.96,0.593598
-0.12,3.96,0.595803
-0.04,3.96,0.596343
0.04,3.96,0.595782
0.12,3.96,0.595212
0.2,3.96,0.594353
0.28,3.96,0.593217
0.36,3.96,0.590779
0.44,3.96,0.579881
0.52,3.96,0.577413
0.6,3.96,0.567593
0.68,3.96,0.556401
0.76,3.96,0.552681
0.84,3.96,0.549167
0.92,3.96,0.537461
1,3.96,0.528289
1.08,3.96,0.518669
1.16,3.96,0.508229
1.24,3.96,0.495289
1.32,3.96,0.480119
1.4,3.96,0.46653
1.48,3.96,0.451315
1.56,3.96,0.438246
1.64,3.96,0.423413
1.72,3.96,0.40773
1.8,3.96,0.394334
1.88,3.96,0.379297
1.96,3.96,0.363534
2.04,3.96,0.347119
2.12,3.96,0.332748
2.2,3.96,0.320146
2.28,3.96,0.30782
2.36,3.96,0.294846
2.44,3.96,0.279584
2.52,3.96,0.26555
2.6,3.96,0.252484
2.68,3.96,0.23977
2.76,3.96,0.227074
2.84,3.96,0.21452
2.92,3.96,0.202457
3,3.96,0.191099
3.08,3.96,0.180191
3.16,3.96,0.16931
3.24,3.96,0.15829
3.32,3.96,0.147214
3.4,3.96,0.136544
3.48,3.96,0.126627
3.56,3.96,0.117961
3.64,3.96,0.110804
3.72,3.96,0.103916
3.8,3.96,0.0987278
3.88,3.96,0.0949777
3.96,3.96,0.0900856
-3.96,3.88,0.0932848
-3.88,3.88,0.0963121
-3.8,3.88,0.10081
-3.72,3.88,0.107203
-3.64,3.88,0.114579
-3.56,3.88,0.123387
-3.48,3.88,0.133331
-3.4,3.88,0.143401
-3.32,3.88,0.153147
-3.24,3.88,0.162945
-3.16,3.88,0.173923
-3.08,3.88,0.186103
-3,3.88,0.199741
-2.92,3.88,0.212564
-2.84,3.88,0.225434
-2.76,3.88,0.237856
-2.68,3.88,0.25057
-2.6,3.88,0.263661
-2.52,3.88,0.277022
-2.44,3.88,0.291089
-2.36,3.88,0.306429
-2.28,3.88,0.32094
-2.2,3.88,0.336436
-2.12,3.88,0.350622
-2.04,3.88,0.365792
-1.96,3.88,0.380577
-1.88,3.88,0.395982
-1.8,3.88,0.41073
-1.72,3.88,0.426971
-1.64,3.88,0.442419
-1.56,3.88,0.457011
-1.48,3.88,0.469047
-1.4,3.88,0.481791
-1.32,3.88,0.495182
-1.24,3.88,0.509266
-1.16,3.88,0.519381
-1.08,3.88,0.530781
-1,3.88,0.542328
-0.92,3.88,0.554033
-0.84,3.88,0.565921
-0.76,3.88,0.577791
-0.68,3.88,0.589086
-0.6,3.88,0.59892
-0.52,3.88,0.606738
-0.44,3.88,0.61174
-0.36,3.88,0.613543
-0.28,3.88,0.614803
-0.2,3.88,0.616973
-0.12,3.88,0.619745
-0.04,3.88,0.62109
0.04,3.88,0.621029
0.12,3.88,0.62032
0.2,3.88,0.618958
0.28,3.88,0.61761
0.36,3.88,0.615135
0.44,3.88,0.605204
0.52,3.88,0.601134
0.6,3.88,0.59145
0.68,3.88,0.58067
0.76,3.88,0.576072
0.84,3.88,0.571218
